Account_length,Age,Total_income,Years_employed,Target
15,32.86857361889703,157500.0,12.4355736257418,1
29,58.79381506807121,112500.0,3.104786545924968,0
4,52.32140290355038,270000.0,8.353354278321937,0
20,61.50434300498984,283500.0,0.0,0
5,46.1939670219101,270000.0,2.1054504883741623,0
17,48.67451077024169,135000.0,3.269060966344278,0
25,29.210729857560388,130500.0,3.019911428708324,1
31,27.46394518710172,157500.0,4.021985393266117,1
44,30.02936405264995,112500.0,4.435409351321383,0
24,34.74130201167717,270000.0,3.1841858491276342,0
39,32.42229477675791,157500.0,5.519620526088831,0
43,56.13256945727839,112500.0,12.183686181098858,0
39,43.15215233714587,135000.0,8.687378933174534,0
24,44.38694839729769,211500.0,3.761884227602209,0
10,45.64090980649842,360000.0,14.686133185486357,1
21,33.98016386373437,126000.0,4.854309123390624,0
40,55.26739084307001,315000.0,0.0,0
11,46.58822563091645,247500.0,3.68796073841352,0
7,42.48957884145465,297000.0,8.854391260600833,0
43,37.35052738933722,157500.0,13.267897355866308,1
12,42.39375209621005,135000.0,3.8549730658398182,0
45,28.257938219128388,225000.0,7.688042875623729,0
4,48.69367611929061,135000.0,4.687296795964325,0
15,43.88043560100481,157500.0,2.4339993292127837,1
49,61.1073464889765,112500.0,0.0,0
10,57.1510708638781,112500.0,6.518956583639636,0
30,45.39997398988344,270000.0,3.269060966344278,0
4,29.09847567027386,270000.0,2.266987001786484,0
22,27.179202858374914,157500.0,2.266987001786484,0
40,51.81762801426449,166500.0,17.183104375859873,0
24,42.28423581593051,216000.0,8.520366605748235,0
21,54.37757106579875,270000.0,3.761884227602209,0
17,39.56275625098394,225000.0,7.603167758407086,1
13,28.89587055175671,315000.0,3.269060966344278,0
16,51.149578704559296,255150.0,0.0,0
8,39.22325578211736,157500.0,1.5195383888786218,0
20,48.299417510284265,148500.0,2.4339993292127837,0
34,30.108763355852616,202500.0,6.2670691389966935,0
24,24.26059398892517,202500.0,2.4339993292127837,0
0,20.504185575336933,112500.0,2.1821118845698404,0
